Date,Location,Aboard,Fatalities
10/29/2006,"Near Abuja, Nigeria",105,96
11/27/2006,"Tehran, Iran",38,38
12/10/2006,"Cajon Pass, California",3,3
12/14/2006,"Near Port Heiden, Alaska",2,2
12/16/2006,"Mbeya, Tanzania",6,3
1/1/2007,"Off Parepare, Indonesia",102,102
1/5/2007,"Matabwe, Tanzania",10,1
1/9/2007,"Near Balad Air Base, Iraq",35,34
1/10/2007,"Zapotlanejo, Mexico",2,2
1/12/2007,"Van Nuys, California",2,2
1/20/2007,"Near Baghdad, Iraq",12,12
1/25/2007,"Pau, France",54,0
2/6/2007,"East Bay Cay, Turks & Caicos Islands",6,1
2/7/2007,"Belgrade, Montana",3,3
3/7/2007,"Yogyakarta, Indonesia",140,22
3/8/2007,"Princeville, Hawaii",7,4
3/11/2007,"Hanea, Kauai, Hawaii",5,1
3/14/2007,"Fazenda Nossa Senhora de Lourdes, Brazil",4,4
3/17/2007,"Samara, Russia",57,6
3/23/2007,"Mogadishu, Somalia",11,11
4/25/2007,"Near Kopinang, Guyana",5,3
4/27/2007,"Shatoi, Chechnya",18,18
5/5/2007,"Near Dizangue, Cameroon",114,114
5/6/2007,"Near El-Thamad, Egypt",9,9
5/17/2007,"Walikale Airstrip, Congo",3,3
5/24/2007,"Near Pampa Hermosa, Peru",20,13
6/3/2007,"Freetown, Sierra Leone",22,21
6/4/2007,"Near Milwaukee, Wisconson",6,6
6/13/2007,"Selenge province, Mongolia",22,15
6/16/2007,"Vungano Hills, Malawi",6,6
6/21/2007,"Near Kamina, Congo",25,1
6/25/2007,"Near Sihanoukville, Cambodia",22,22
6/28/2007,"M'Banza Congo, Angola",78,5
7/5/2007,"Culiacan, Mexico",3,3
7/5/2007,"Connemara, Ireland",9,2
7/8/2007,"Muncho Lake, British Columbia, Canada",5,1
7/17/2007,"Sao Paulo, Brazil",187,187
7/23/2007,"Near Shinile, Ethiopia",9,1
7/24/2007,"Rudyerd Bay, Alaska",5,5
7/29/2007,"Moscow, Russia",9,9
8/5/2007,"Near Ruidoso, New Mexico",5,5
8/9/2007,"Off Moorea, French Polynesia",20,20
8/16/2007,"Near Ketchikan, Alaska",10,6
8/22/2007,"Near Kirkuk, Iraq",14,14
8/22/2007,"Near Curitiba, Brazil",2,2
8/26/2007,"Kongolo, DemocratiRepubliCongo",15,14
9/7/2007,"Goma, DemocratiRepubliCongo",8,8
1/12/2008,"Blace, Macedonia",11,11
9/16/2007,"Phuket, Thailand",130,90
9/24/2007,"Malemba Nkulu, DR Congo",6,1
10/4/2007,"Kinshasa, DR Congo",22,21
10/4/2007,"Alamosa, Colorado",3,3
10/7/2007,"White Pass, Washington",10,10
10/8/2007,"Near Cubarral, Colombia",18,18
11/4/2007,"Sao Paulo, Brazil",2,2
11/8/2007,"Khartoum, Sudan",4,0
11/30/2007,"Near Isparta, Turkey",57,57
12/3/2007,"Off Whittier, Alaska",4,4
12/5/2007,"Columbus, Ohio",2,2
12/9/2007,"Kiev, Ukraine",5,5
1/4/2008,"Los Roques, Venezuela",18,18
1/5/2008,"Kodiak, Alaska",10,6
1/14/2008,"Off Lihu, Hawaii",1,1
1/17/2008,"London, England",152,0
1/19/2008,"Near Huambo, Angola",13,13
1/23/2008,"Miroslawiec, Poland",20,20
1/26/2008,"Near Malinau, Indonesia",3,3
2/21/2008,"Merida, Venezuela",46,46
2/26/2008,"Off Macae , Rio de Janeiro , Brazil",20,5
3/3/2008,"Near Bethani, Nepal",10,10
3/15/2008,"Nbagu, Nigeria",3,3
4/3/2008,"Lawa, Suriname",19,19
4/9/2008,"Bundeena, Australia",1,1
4/11/2008,"Chrisinau, Moldova",8,8
4/15/2008,"Goma, Congo",85,0
4/16/2008,"Off Annobon Island, Equatorial Guinea",13,13
4/28/2008,"Off Crimea, Black Sea",20,20
5/2/2008,"Near Rumbek, Sudan",24,24
5/17/2008,"Stehekin, Washington",5,2
5/23/2008,"Billings, Montana",1,1
5/24/2008,"Two Harbors, Catalina Island, California",6,4
5/26/2008,"Near Chelyabinsk, Russia",9,9
5/29/2008,"Panama City, Panama",12,11
5/30/2008,"Tegucigalpa, Honduras",136,3
6/7/2008,"Yeco, Chile",10,10
6/8/2008,"Huntsville, Texas",4,4
6/10/2008,"Khartoum, Sudan",214,32
6/18/2008,"Hyannis, Massachusetts",1,1
6/20/2008,"Bannang Sata, Thailand",10,10
6/26/2008,"Near Salak Mountain, Indonesia",18,18
6/27/2008,"Near Malakal, Sudan",8,7
6/29/2008,"Flagstaff, Arizona",7,6
6/30/2008,"Near Khartoum, Sudan",4,4
7/6/2008,"Saltillo, Mexico",2,1
7/7/2008,"Near Bogota, Colombia",8,0
7/10/2008,"Puerto Montt, Chile",9,9
7/31/2008,"Owatonna, Minnesota",8,8
8/3/2008,"North Vancouver Island, British Colombia, Canada",7,5
8/5/2008,"Near Junction City, California",13,9
8/6/2008,"Sunat Tanon, Thailand",10,10
8/13/2008,"K-50 Airport, Somalia",3,3
8/20/2008,"Madrid, Spain",172,154
8/24/2008,"Near Cabañas, Guatemala",14,11
8/24/2008,"Bishkek, Kyrgyzstan",90,68
8/30/2008,"Near Toacaso, Ecuador",3,3
9/1/2008,"Near Bukavu, Congo",17,17
9/1/2008,"Columbus, Ohio",3,3
9/3/2008,"Off Dubai, United Arab Emirates",7,7
9/14/2008,"Perm, Russia",88,88
9/19/2008,"Columbia, South Carolina",6,4
9/27/2008,"Camp Springs, Maryland",5,4
10/8/2008,"Lukla, Nepal",19,18
10/15/2008,"Aurora, Illinois",4,4
11/4/2008,"Mexico City, Mexico",8,8
11/8/2008,"Between Kibo & Mawenzi Peaks of Mt. Kilimanjaroi, Tanzania",5,4
11/13/2008,"Fallujah, Iraq",7,7
11/16/2008,"Thormanby Island, British Columbia, Canada",8,7
11/27/2008,"Off Perpignan, France",7,7
12/3/2008,"San Juan, Puerto Rico",3,3
12/11/2008,"Off Sabine Pass, Texas",3,3
12/15/2008,Off Turks and Caicos Islands,12,12
1/4/2009,Near Houma Louisiana,9,8
1/15/2009,"New York, New York",155,0
2/7/2009,"Manacapuru, Brazil",28,24
2/7/2009,"Trigoria, Italy",2,2
2/12/2009,"Clarence Center, New York",49,49
2/15/2009,"Chanco, Chile",13,13
2/20/2009,"Luxor, Egypt",5,5
2/25/2009,"Amsterdam, Netherlands",134,9
3/9/2009,"Lake Victoria, Uganda",11,11
3/12/2009,"Off St. Johns, Newfoundland",18,17
3/22/2009,"Butte, Montana",14,14
3/23/2009,"Tokyo, Japan",2,2
4/1/2009,"Off Crimond, Scotland",16,16
4/6/2009,"Bandung, Indonesia",24,24
